trading_day,ticker,p_positive_mean,p_negative_mean,p_neutral_mean,net_sentiment,sentiment_volume,sentiment_momentum,sentiment_dispersion
2023-12-08,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-11,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-12,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-13,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-14,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-15,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-18,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-19,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-20,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-21,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-22,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-25,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-26,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-27,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-28,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2023-12-29,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2024-01-01,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2024-01-02,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2024-01-03,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2024-01-04,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2024-01-05,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2024-01-08,COP,0.2732465,1.190125,-1.3293087,-0.5815475,0.0,0.0010731290426789868,-0.39002892
2024-01-09,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,-0.4706100979848702,-0.5035359582616381,-0.39002892
2024-01-10,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-11,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-12,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
2024-01-15,COP,-0.7804579,-0.55753547,1.1854607,-0.10898598,0.0,-0.5035359582616381,-0.39002892
